,0
348,Maximum Likelihood optimization failed to converge. Check mle_retvals
349,Retrying MixedLM optimization with lbfgs
350,The MLE may be on the boundary of the parameter space.
351,Maximum Likelihood optimization failed to converge. Check mle_retvals
352,Retrying MixedLM optimization with lbfgs
353,The MLE may be on the boundary of the parameter space.
354,Maximum Likelihood optimization failed to converge. Check mle_retvals
355,Retrying MixedLM optimization with lbfgs
356,The MLE may be on the boundary of the parameter space.
357,Maximum Likelihood optimization failed to converge. Check mle_retvals
358,Retrying MixedLM optimization with lbfgs
359,The MLE may be on the boundary of the parameter space.
360,Maximum Likelihood optimization failed to converge. Check mle_retvals
361,Retrying MixedLM optimization with lbfgs
362,The MLE may be on the boundary of the parameter space.
363,The MLE may be on the boundary of the parameter space.
364,Maximum Likelihood optimization failed to converge. Check mle_retvals
365,Retrying MixedLM optimization with lbfgs
366,The MLE may be on the boundary of the parameter space.
367,Maximum Likelihood optimization failed to converge. Check mle_retvals
368,Retrying MixedLM optimization with lbfgs
369,The MLE may be on the boundary of the parameter space.
370,The MLE may be on the boundary of the parameter space.
371,The MLE may be on the boundary of the parameter space.
372,Maximum Likelihood optimization failed to converge. Check mle_retvals
373,Retrying MixedLM optimization with lbfgs
374,The MLE may be on the boundary of the parameter space.
375,Maximum Likelihood optimization failed to converge. Check mle_retvals
376,Retrying MixedLM optimization with lbfgs
377,The MLE may be on the boundary of the parameter space.
378,Maximum Likelihood optimization failed to converge. Check mle_retvals
379,Retrying MixedLM optimization with lbfgs
380,The MLE may be on the boundary of the parameter space.
381,Maximum Likelihood optimization failed to converge. Check mle_retvals
382,Retrying MixedLM optimization with lbfgs
383,The MLE may be on the boundary of the parameter space.
384,The MLE may be on the boundary of the parameter space.
385,The MLE may be on the boundary of the parameter space.
386,The MLE may be on the boundary of the parameter space.
387,Maximum Likelihood optimization failed to converge. Check mle_retvals
388,Retrying MixedLM optimization with lbfgs
389,The MLE may be on the boundary of the parameter space.
390,Maximum Likelihood optimization failed to converge. Check mle_retvals
391,Retrying MixedLM optimization with lbfgs
392,The MLE may be on the boundary of the parameter space.
393,Maximum Likelihood optimization failed to converge. Check mle_retvals
394,Retrying MixedLM optimization with lbfgs
395,The MLE may be on the boundary of the parameter space.
396,Maximum Likelihood optimization failed to converge. Check mle_retvals
397,Retrying MixedLM optimization with lbfgs
398,The MLE may be on the boundary of the parameter space.
399,The MLE may be on the boundary of the parameter space.
400,The MLE may be on the boundary of the parameter space.
401,Maximum Likelihood optimization failed to converge. Check mle_retvals
402,Retrying MixedLM optimization with lbfgs
403,The MLE may be on the boundary of the parameter space.
404,Maximum Likelihood optimization failed to converge. Check mle_retvals
405,Retrying MixedLM optimization with lbfgs
406,The MLE may be on the boundary of the parameter space.
407,Maximum Likelihood optimization failed to converge. Check mle_retvals
408,Retrying MixedLM optimization with lbfgs
409,The MLE may be on the boundary of the parameter space.
410,Maximum Likelihood optimization failed to converge. Check mle_retvals
411,Retrying MixedLM optimization with lbfgs
412,The MLE may be on the boundary of the parameter space.
413,Maximum Likelihood optimization failed to converge. Check mle_retvals
414,Retrying MixedLM optimization with lbfgs
415,The MLE may be on the boundary of the parameter space.
416,Maximum Likelihood optimization failed to converge. Check mle_retvals
417,Retrying MixedLM optimization with lbfgs
418,The MLE may be on the boundary of the parameter space.
419,Maximum Likelihood optimization failed to converge. Check mle_retvals
420,Retrying MixedLM optimization with lbfgs
421,The MLE may be on the boundary of the parameter space.
422,Maximum Likelihood optimization failed to converge. Check mle_retvals
423,Retrying MixedLM optimization with lbfgs
424,The MLE may be on the boundary of the parameter space.
425,Maximum Likelihood optimization failed to converge. Check mle_retvals
426,Retrying MixedLM optimization with lbfgs
427,The MLE may be on the boundary of the parameter space.
428,Maximum Likelihood optimization failed to converge. Check mle_retvals
429,Retrying MixedLM optimization with lbfgs
430,The MLE may be on the boundary of the parameter space.
431,Maximum Likelihood optimization failed to converge. Check mle_retvals
432,Retrying MixedLM optimization with lbfgs
433,The MLE may be on the boundary of the parameter space.
434,Maximum Likelihood optimization failed to converge. Check mle_retvals
435,Retrying MixedLM optimization with lbfgs
436,The MLE may be on the boundary of the parameter space.
437,Maximum Likelihood optimization failed to converge. Check mle_retvals
438,Retrying MixedLM optimization with lbfgs
439,The MLE may be on the boundary of the parameter space.
440,Maximum Likelihood optimization failed to converge. Check mle_retvals
441,Retrying MixedLM optimization with lbfgs
442,The MLE may be on the boundary of the parameter space.
443,Maximum Likelihood optimization failed to converge. Check mle_retvals
444,Retrying MixedLM optimization with lbfgs
445,The MLE may be on the boundary of the parameter space.
446,Maximum Likelihood optimization failed to converge. Check mle_retvals
447,Retrying MixedLM optimization with lbfgs
448,The MLE may be on the boundary of the parameter space.
449,Maximum Likelihood optimization failed to converge. Check mle_retvals
450,Retrying MixedLM optimization with lbfgs
451,The MLE may be on the boundary of the parameter space.
452,Maximum Likelihood optimization failed to converge. Check mle_retvals
453,Retrying MixedLM optimization with lbfgs
454,The MLE may be on the boundary of the parameter space.
455,Maximum Likelihood optimization failed to converge. Check mle_retvals
456,Retrying MixedLM optimization with lbfgs
457,The MLE may be on the boundary of the parameter space.
458,Maximum Likelihood optimization failed to converge. Check mle_retvals
459,Retrying MixedLM optimization with lbfgs
460,The MLE may be on the boundary of the parameter space.
461,Maximum Likelihood optimization failed to converge. Check mle_retvals
462,Retrying MixedLM optimization with lbfgs
463,The MLE may be on the boundary of the parameter space.
464,Maximum Likelihood optimization failed to converge. Check mle_retvals
465,Retrying MixedLM optimization with lbfgs
466,The MLE may be on the boundary of the parameter space.
467,Maximum Likelihood optimization failed to converge. Check mle_retvals
468,Retrying MixedLM optimization with lbfgs
469,The MLE may be on the boundary of the parameter space.
470,Maximum Likelihood optimization failed to converge. Check mle_retvals
471,Retrying MixedLM optimization with lbfgs
472,The MLE may be on the boundary of the parameter space.
473,Maximum Likelihood optimization failed to converge. Check mle_retvals
474,Retrying MixedLM optimization with lbfgs
475,The MLE may be on the boundary of the parameter space.
476,Maximum Likelihood optimization failed to converge. Check mle_retvals
477,Retrying MixedLM optimization with lbfgs
478,The MLE may be on the boundary of the parameter space.
479,Maximum Likelihood optimization failed to converge. Check mle_retvals
480,Retrying MixedLM optimization with lbfgs
481,The MLE may be on the boundary of the parameter space.
482,Maximum Likelihood optimization failed to converge. Check mle_retvals
483,Retrying MixedLM optimization with lbfgs
484,The MLE may be on the boundary of the parameter space.
